issueid,id,comment_seq,utr_seq,author,created,is_private,actionbody,author_role
1004298.0,211718014.0,0,0,.wy0w13yhr,2022-01-02 11:12:51+00:00,0.0,dear ph_name team,reporter
1004298.0,211718014.0,0,1,.wy0w13yhr,2022-01-02 11:12:51+00:00,0.0,we need your urgent support to fix list of vulnerabilities reported in ph_name application .,reporter
1004298.0,211718014.0,0,2,.wy0w13yhr,2022-01-02 11:12:51+00:00,0.0,please provide resolution date before end of ‘january ph_technical .,reporter
1004298.0,1045407.0,1,0,z2w_x,2022-01-02 11:13:02+00:00,1.0,.,others
1004298.0,1045407.0,1,1,z2w_x,2022-01-02 11:13:02+00:00,1.0,problem: .,others
1004298.0,1045407.0,1,2,z2w_x,2022-01-02 11:13:02+00:00,1.0,investigation and simulation: .,others
1004298.0,1045407.0,1,3,z2w_x,2022-01-02 11:13:02+00:00,1.0,development agile related issue : .,others
1004298.0,1045407.0,1,4,z2w_x,2022-01-02 11:13:02+00:00,1.0,solution: 1- did we resolve the problem and its symptoms?,others
1004298.0,1045407.0,1,5,z2w_x,2022-01-02 11:13:02+00:00,1.0,2- did we understand and resolve the root cause of the problem?,others
1004298.0,1045407.0,1,6,z2w_x,2022-01-02 11:13:02+00:00,1.0,3- will this problem appear at this customer or other customer site?,others
1004298.0,1045408.0,2,0,4ggo,2022-01-02 11:13:06+00:00,0.0,"to provide our best support the following policy for tickets waiting customer feedback, and tickets under monitoring will be applied - ph_name team will remind the customer every two working days, after the second reminder if no response, the ph_name team will escalate the ticket and inform the customer that the ticket will be closed by end of second week if no response received.",others
1004298.0,1045412.0,3,0,4ops,2022-01-02 11:17:42+00:00,0.0,greetings,assignee
1004298.0,1045412.0,3,1,4ops,2022-01-02 11:17:42+00:00,0.0,report is not clear and contains points not related to the application so please remove the internal issues and segregate each application in separate sheet .,assignee
1004298.0,1046266.0,4,0,.wy0w13ygq,2022-01-05 09:49:27+00:00,0.0,greetings,others
1004298.0,1046266.0,4,1,.wy0w13ygq,2022-01-05 09:49:27+00:00,0.0,attached are the list of vulnerabilities for each system.,others
1004298.0,1046414.0,5,0,4ops,2022-01-06 05:26:36+00:00,0.0,greetings,assignee
1004298.0,1046414.0,5,1,4ops,2022-01-06 05:26:36+00:00,0.0,still i can't identify each record for which system so please add new column and add the system name to be able to handle it,assignee
1004298.0,1048581.0,6,0,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,dear  ph_user ,reporter
1004298.0,1048581.0,6,1,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,"as requested we have listed application related vulnerabilities , lets upgrade tls version in test environment and close all ph_technical .",reporter
1004298.0,1048581.0,6,2,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,"vulnerabilities ip port tls ph_path server is enabling the beast attack ph_ip_address ph_technical,ph_technical ,ph_technical tls server supports tls version 1.0",reporter
1004298.0,1048581.0,6,3,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,ph_ip_address,reporter
1004298.0,1048581.0,6,4,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,ph_technical,reporter
1004298.0,1048581.0,6,5,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,ph_technical,reporter
